"Lower Frequency";"Upper Frequency";"RR Region 1 Allocation and RR footnotes applicable to CEPT";"RR Region 1 frequency range footnotes";"European Common Allocation and ECA footnotes";"ECA frequency range footnotes";"ECC/ERC harmonisation measure";"Applications";"Standard";"Notes"
"24000 kHz";"24450 kHz";"FIXED, LAND MOBILE";"";"FIXED, LAND MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"24000 kHz";"24450 kHz";"FIXED, LAND MOBILE";"";"FIXED, LAND MOBILE";"ECA36";"";"Land military systems";"";""

"24450 kHz";"24600 kHz";"FIXED, LAND MOBILE, Radiolocation(5.132A)";"5.158";"FIXED, LAND MOBILE, Radiolocation(5.132A)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"24450 kHz";"24600 kHz";"FIXED, LAND MOBILE, Radiolocation(5.132A)";"5.158";"FIXED, LAND MOBILE, Radiolocation(5.132A)";"ECA36";"";"Land military systems";"";""

"24600 kHz";"24890 kHz";"FIXED, LAND MOBILE";"";"FIXED, LAND MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"24600 kHz";"24890 kHz";"FIXED, LAND MOBILE";"";"FIXED, LAND MOBILE";"ECA36";"";"Land military systems";"";""

"24890 kHz";"24990 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur";"EN 301 783";""
"24890 kHz";"24990 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur-satellite";"";""
"24890 kHz";"24990 kHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"24990 kHz";"25005 kHz";"STANDARD FREQUENCY AND TIME SIGNAL (25 000 KHZ)";"";"STANDARD FREQUENCY AND TIME SIGNAL (25 000 KHZ)";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"25005 kHz";"25010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"25005 kHz";"25010 kHz";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"";"STANDARD FREQUENCY AND TIME SIGNAL, Space research";"ECA36";"";"Space research";"";"Scientific and medical space research"

"25010 kHz";"25070 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"25010 kHz";"25070 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"";"Land military systems";"";""
"25010 kHz";"25070 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"";"Maritime military systems";"";""

"25070 kHz";"25210 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"";"";"DSC";"EN 302 885, EN 303 402";"25208.5, 25209, 25209.5 kHz (DSC calling)"
"25070 kHz";"25210 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"25070 kHz";"25210 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"";"";"Maritime communications";"EN 303 402";"Appendix 17
channelling plan"
"25070 kHz";"25210 kHz";"MARITIME MOBILE";"";"MARITIME MOBILE";"";"";"Maritime military systems";"";""

"25210 kHz";"25550 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"25210 kHz";"25550 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"";"Land military systems";"";""
"25210 kHz";"25550 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"";"Maritime military systems";"";""

"25550 kHz";"25670 kHz";"RADIO ASTRONOMY";"5.149";"RADIO ASTRONOMY";"5.149";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"25550 kHz";"25670 kHz";"RADIO ASTRONOMY";"5.149";"RADIO ASTRONOMY";"5.149";"";"Radio astronomy";"";"Continuum observations"

"25670 kHz";"26100 kHz";"BROADCASTING";"";"BROADCASTING";"";"";"Broadcasting";"EN 302 017, EN 302 245";"RR-Article 12 planning procedure. Digital systems to be introduced."
"25670 kHz";"26100 kHz";"BROADCASTING";"";"BROADCASTING";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"26100 kHz";"26175 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"";"DSC";"EN 302 885, EN 303 402";"26121, 26121.5, 26122 kHz (DSC calling) "
"26100 kHz";"26175 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"26100 kHz";"26175 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"";"Maritime communications";"EN 303 402";"Appendix 17
channelling plan. Appendix 25 allotment plan. 26100.5 kHz Maritime Safety Information."
"26100 kHz";"26175 kHz";"MARITIME MOBILE(5.132)";"";"MARITIME MOBILE(5.132)";"ECA36";"";"Maritime military systems";"";""

"26175 kHz";"26200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"26175 kHz";"26200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"";"Land military systems";"";""
"26175 kHz";"26200 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"ECA36";"";"Maritime military systems";"";""

"26200 kHz";"26350 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Radiolocation(5.132A)";"5.133A";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Radiolocation(5.132A)";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"26200 kHz";"26350 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Radiolocation(5.132A)";"5.133A";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Radiolocation(5.132A)";"ECA36";"";"Land military systems";"";""
"26200 kHz";"26350 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Radiolocation(5.132A)";"5.133A";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE, Radiolocation(5.132A)";"ECA36";"";"Maritime military systems";"";""

"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"ECC/DEC/(11)03, ERC/REC 70-03";"CB radio";"EN 300 433";"(CEPT PR 27). Within the band 26.960-27.410 MHz"
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"ERC/REC 70-03";"Eurobalise";"EN 302 608";"Centre frequency 27.095 MHz"
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"";"ISM";"";"Within the band 26.957-27.283 MHz"
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"";"Land military systems";"";""
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"";"Maritime military systems";"";""
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"ERC/REC 70-03";"Model control";"EN 300 220";"26.995, 27.045, 27.095, 27.145, 27.195 MHz"
"26350 kHz";"27500 kHz";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150";"FIXED, MOBILE EXCEPT AERONAUTICAL MOBILE";"5.150, ECA36";"ERC/REC 70-03";"Non-specific SRDs";"EN 300 220, EN 300 330";"Within the band 26.957-27.283 MHz"

"27500 kHz";"28 MHz";"FIXED, METEOROLOGICAL AIDS, MOBILE";"";"FIXED, METEOROLOGICAL AIDS, MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"27500 kHz";"28 MHz";"FIXED, METEOROLOGICAL AIDS, MOBILE";"";"FIXED, METEOROLOGICAL AIDS, MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"27500 kHz";"28 MHz";"FIXED, METEOROLOGICAL AIDS, MOBILE";"";"FIXED, METEOROLOGICAL AIDS, MOBILE";"ECA36";"";"Land military systems";"";""
"27500 kHz";"28 MHz";"FIXED, METEOROLOGICAL AIDS, MOBILE";"";"FIXED, METEOROLOGICAL AIDS, MOBILE";"ECA36";"";"Maritime military systems";"";""

"28 MHz";"29.7 MHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur";"EN 301 783";""
"28 MHz";"29.7 MHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"";"Amateur-satellite";"";""
"28 MHz";"29.7 MHz";"AMATEUR, AMATEUR-SATELLITE";"";"AMATEUR, AMATEUR-SATELLITE";"";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"

"29.7 MHz";"30.005 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"29.7 MHz";"30.005 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Inductive applications";"EN 300 330";"Within the band 148.5 kHz - 30 MHz"
"29.7 MHz";"30.005 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"29.7 MHz";"30.005 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"29.7 MHz";"30.005 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis."
"29.7 MHz";"30.005 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"ULP-MMI";"EN 302 510";"Within the band 30.0-30.005 MHz"

"30.005 MHz";"30.01 MHz";"FIXED, MOBILE, SPACE OPERATION (SATELLITE IDENTIFICATION), SPACE RESEARCH";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"30.005 MHz";"30.01 MHz";"FIXED, MOBILE, SPACE OPERATION (SATELLITE IDENTIFICATION), SPACE RESEARCH";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"30.005 MHz";"30.01 MHz";"FIXED, MOBILE, SPACE OPERATION (SATELLITE IDENTIFICATION), SPACE RESEARCH";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"30.005 MHz";"30.01 MHz";"FIXED, MOBILE, SPACE OPERATION (SATELLITE IDENTIFICATION), SPACE RESEARCH";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"
"30.005 MHz";"30.01 MHz";"FIXED, MOBILE, SPACE OPERATION (SATELLITE IDENTIFICATION), SPACE RESEARCH";"";"MOBILE";"ECA36";"ERC/REC 70-03";"ULP-MMI";"EN 302 510";""

"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/DEC/(01)11, ERC/REC 70-03";"Model control";"EN 300 220";"Within the band 34.995-35.225 MHz only for flying models"
"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis."
"30.01 MHz";"37.5 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"ULP-MMI";"EN 302 510";""

"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio astronomy";"5.149";"MOBILE, Radio astronomy";"5.149, ECA36";"";"Aeronautical military systems";"";""
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio astronomy";"5.149";"MOBILE, Radio astronomy";"5.149, ECA36";"";"Land military systems";"";""
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio astronomy";"5.149";"MOBILE, Radio astronomy";"5.149, ECA36";"";"Maritime military systems";"";""
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio astronomy";"5.149";"MOBILE, Radio astronomy";"5.149, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio astronomy";"5.149";"MOBILE, Radio astronomy";"5.149, ECA36";"";"Radio astronomy";"";"Continuum observations"
"37.5 MHz";"38.25 MHz";"FIXED, MOBILE, Radio astronomy";"5.149";"MOBILE, Radio astronomy";"5.149, ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis."

"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"38.25 MHz";"39 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"";"Aeronautical military systems";"";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"";"Land military systems";"";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"";"Maritime military systems";"";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"ERC/REC/(00)04";"Meteor scatter communications";"";"Within the band 39.0-39.2 MHz"
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"39 MHz";"39.5 MHz";"FIXED, MOBILE, Radiolocation(5.132A)";"5.159";"MOBILE, Radiolocation(5.132A)";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis."

"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Land military systems";"";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"";"Meteor scatter communications";"";"Within the band 39.0-39.2 MHz"
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"39.5 MHz";"39.986 MHz";"FIXED, MOBILE";"";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"39.986 MHz";"40 MHz";"FIXED, MOBILE, Space research";"";"MOBILE, Space research";"ECA36";"";"Aeronautical military systems";"";""
"39.986 MHz";"40 MHz";"FIXED, MOBILE, Space research";"";"MOBILE, Space research";"ECA36";"";"Land military systems";"";""
"39.986 MHz";"40 MHz";"FIXED, MOBILE, Space research";"";"MOBILE, Space research";"ECA36";"";"Maritime military systems";"";""
"39.986 MHz";"40 MHz";"FIXED, MOBILE, Space research";"";"MOBILE, Space research";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"39.986 MHz";"40 MHz";"FIXED, MOBILE, Space research";"";"MOBILE, Space research";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"40 MHz";"40.02 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"";"MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"ECA36";"";"Aeronautical military systems";"";""
"40 MHz";"40.02 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"";"MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"ECA36";"";"Land military systems";"";""
"40 MHz";"40.02 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"";"MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"ECA36";"";"Maritime military systems";"";""
"40 MHz";"40.02 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"";"MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"40 MHz";"40.02 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"";"MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"";"Aeronautical military systems";"";""
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"";"ISM";"";"Within the band 40.66-40.7 MHz"
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"";"Land military systems";"";""
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"";"Maritime military systems";"";""
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"ERC/DEC/(01)12, ERC/REC 70-03";"Model control";"EN 300 220";"Centre frequencies 40.665, 40.675, 40.685, 40.695 MHz"
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"ERC/REC 70-03";"Non-specific SRDs";"EN 300 220";""
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"40.02 MHz";"40.98 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150";"MOBILE, Earth exploration-satellite (active)(5.159A)";"5.150, ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"5.160, 5.161";"MOBILE, Space research";"ECA36";"";"Aeronautical military systems";"";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"5.160, 5.161";"MOBILE, Space research";"ECA36";"";"Land military systems";"";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"5.160, 5.161";"MOBILE, Space research";"ECA36";"";"Maritime military systems";"";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"5.160, 5.161";"MOBILE, Space research";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"40.98 MHz";"41.015 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Space research";"5.160, 5.161";"MOBILE, Space research";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"41.015 MHz";"42 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Aeronautical military systems";"";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Land military systems";"";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"";"Maritime military systems";"";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"T/R 25-08";"PMR";"EN 300 086, EN 300 113, EN 300 219, EN 300 296, EN 300 341, EN 300 390, EN 300 471, EN 301 166, EN 302 561, EN 303 039";""
"41.015 MHz";"42 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A)";"5.160, 5.161, 5.161A";"MOBILE";"ECA36";"ERC/REC 70-03";"Radio microphones and ALD";"EN 300 422";"Within the band 29.7-47.0 MHz. Narrow band audio systems including tour guide systems on a tuning range basis"

"42 MHz";"42.5 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"";"Aeronautical military systems";"";""
"42 MHz";"42.5 MHz";"FIXED, MOBILE, Earth exploration-satellite (active)(5.159A), Radiolocation(5.132A)";"5.160, 5.161B";"FIXED, MOBILE, Radiolocation(5.132A)";"5.161B, ECA36";"";"Land military systems";"";""
